,longitude,latitude
202,-116.39,33.72
203,-116.39,33.69
204,-116.4,34.12
205,-116.4,34.09
206,-116.4,33.78
207,-116.41,33.74
208,-116.41,33.74
209,-116.42,33.79
210,-116.42,33.76
211,-116.42,33.68
212,-116.42,33.51
213,-116.43,34.1
214,-116.43,33.81
215,-116.43,33.75
216,-116.44,34.16
217,-116.44,34.12
218,-116.44,33.93
219,-116.44,33.77
220,-116.44,33.74
221,-116.45,33.8
222,-116.45,33.78
223,-116.45,32.65
224,-116.46,33.82
225,-116.46,33.78
226,-116.47,34.07
227,-116.47,33.94
228,-116.47,33.84
229,-116.47,33.81
230,-116.47,33.78
231,-116.48,33.94
232,-116.48,33.79
233,-116.48,33.61
234,-116.49,33.82
235,-116.49,33.8
236,-116.5,33.98
237,-116.5,33.95
238,-116.5,33.82
239,-116.5,33.81
240,-116.5,33.69
241,-116.51,34.85
242,-116.51,34.45
243,-116.51,33.96
244,-116.51,33.94
245,-116.51,33.89
246,-116.52,33.97
247,-116.52,33.85
248,-116.52,33.84
249,-116.52,33.82
250,-116.52,32.9
251,-116.53,33.95
252,-116.53,33.88
253,-116.53,33.85
254,-116.53,33.84
255,-116.53,33.78
256,-116.54,33.81
257,-116.54,33.81
258,-116.54,33.8
259,-116.54,33.79
260,-116.55,33.84
261,-116.56,34.06
262,-116.56,33.83
263,-116.56,33.05
264,-116.57,35.43
265,-116.57,34.0
266,-116.57,33.94
267,-116.57,33.84
268,-116.57,33.64
269,-116.58,32.69
270,-116.6,33.49
271,-116.6,33.06
272,-116.61,33.04
273,-116.62,34.23
274,-116.62,32.86
275,-116.66,32.79
276,-116.67,32.97
277,-116.68,33.71
278,-116.68,33.16
279,-116.71,33.94
280,-116.72,34.89
281,-116.72,33.56
282,-116.74,33.62
283,-116.74,33.33
284,-116.75,33.83
285,-116.75,32.85
286,-116.75,32.82
287,-116.76,34.29
288,-116.76,34.14
289,-116.76,33.46
290,-116.76,32.84
291,-116.76,32.74
292,-116.77,33.92
293,-116.78,33.0
294,-116.79,33.99
295,-116.79,32.84
296,-116.79,32.61
297,-116.8,33.8
298,-116.8,32.8
299,-116.82,34.24
300,-116.83,34.25
301,-116.83,32.83
302,-116.84,33.01
303,-116.84,32.92
304,-116.84,32.86
305,-116.85,34.98
306,-116.85,34.25
307,-116.85,32.83
308,-116.86,34.23
309,-116.86,33.97
310,-116.86,33.84
311,-116.86,33.73
312,-116.86,33.05
313,-116.86,33.02
314,-116.86,32.87
315,-116.86,32.8
316,-116.87,33.94
317,-116.87,33.93
318,-116.87,33.76
319,-116.87,33.57
320,-116.87,32.75
321,-116.87,32.72
322,-116.88,34.25
323,-116.88,34.24
324,-116.88,34.19
325,-116.88,34.08
326,-116.88,33.93
327,-116.88,33.74
328,-116.88,33.05
329,-116.88,33.02
330,-116.88,32.86
331,-116.89,33.93
332,-116.89,33.92
333,-116.89,33.86
334,-116.89,33.75
335,-116.89,33.48
336,-116.89,32.99
337,-116.89,32.85
338,-116.89,32.85
339,-116.89,32.67
340,-116.9,34.69
341,-116.9,34.52
342,-116.9,34.25
343,-116.9,33.98
344,-116.9,33.93
345,-116.9,33.74
346,-116.9,33.65
347,-116.9,33.22
348,-116.9,33.03
349,-116.9,32.9
350,-116.9,32.84
351,-116.9,32.84
352,-116.9,32.79
353,-116.9,32.77
354,-116.91,34.0
355,-116.91,33.75
356,-116.91,33.71
357,-116.91,32.87
358,-116.91,32.86
359,-116.91,32.86
360,-116.91,32.85
361,-116.91,32.83
362,-116.91,32.82
363,-116.91,32.81
364,-116.91,32.8
365,-116.91,32.78
366,-116.91,32.73
367,-116.92,33.63
368,-116.92,32.85
369,-116.92,32.84
370,-116.92,32.82
371,-116.92,32.82
372,-116.92,32.82
373,-116.92,32.8
374,-116.92,32.78
375,-116.92,32.76
376,-116.93,33.93
377,-116.93,33.75
378,-116.93,33.74
379,-116.93,33.06
380,-116.93,32.87
381,-116.93,32.85
382,-116.93,32.85
383,-116.93,32.83
384,-116.93,32.82
385,-116.93,32.81
386,-116.93,32.79
387,-116.93,32.79
388,-116.94,34.4
389,-116.94,34.24
390,-116.94,33.77
391,-116.94,33.74
392,-116.94,33.73
393,-116.94,32.89
394,-116.94,32.87
395,-116.94,32.84
396,-116.94,32.83
397,-116.94,32.82
398,-116.94,32.8
399,-116.94,32.8
400,-116.94,32.78
401,-116.94,32.75
402,-116.95,33.97
403,-116.95,33.79
404,-116.95,33.78
405,-116.95,33.76
406,-116.95,33.75
407,-116.95,33.75
408,-116.95,33.74
409,-116.95,33.74
410,-116.95,33.73
411,-116.95,33.68
412,-116.95,33.31
413,-116.95,32.96
414,-116.95,32.84
415,-116.95,32.83
416,-116.95,32.82
417,-116.95,32.82
418,-116.95,32.81
419,-116.95,32.81
420,-116.95,32.79
421,-116.95,32.78
422,-116.95,32.78
423,-116.95,32.77
424,-116.95,32.76
425,-116.95,32.73
426,-116.96,34.94
427,-116.96,34.83
428,-116.96,33.94
429,-116.96,33.79
430,-116.96,33.75
431,-116.96,33.74
432,-116.96,33.73
433,-116.96,32.9
434,-116.96,32.87
435,-116.96,32.86
436,-116.96,32.85
437,-116.96,32.81
438,-116.96,32.8
439,-116.96,32.8
440,-116.96,32.8
441,-116.96,32.79
442,-116.96,32.79
443,-116.96,32.79
444,-116.96,32.78
445,-116.97,33.96
446,-116.97,33.94
447,-116.97,33.93
448,-116.97,33.78
449,-116.97,33.74
450,-116.97,33.74
451,-116.97,33.13
452,-116.97,32.83
453,-116.97,32.8
454,-116.97,32.79
455,-116.97,32.79
456,-116.97,32.78
457,-116.97,32.78
458,-116.97,32.78
459,-116.97,32.76
460,-116.97,32.76
461,-116.97,32.75
462,-116.97,32.74
463,-116.97,32.65
464,-116.97,32.56
465,-116.98,34.13
466,-116.98,34.07
467,-116.98,34.05
468,-116.98,33.94
469,-116.98,33.93
470,-116.98,33.93
471,-116.98,33.83
472,-116.98,33.77
473,-116.98,33.74
474,-116.98,32.88
475,-116.98,32.86
476,-116.98,32.86
477,-116.98,32.85
478,-116.98,32.8
479,-116.98,32.79
480,-116.98,32.77
481,-116.98,32.75
482,-116.98,32.75
483,-116.98,32.74
484,-116.98,32.74
485,-116.98,32.73
486,-116.98,32.72
487,-116.98,32.71
488,-116.99,34.89
489,-116.99,34.88
490,-116.99,34.3
491,-116.99,33.99
492,-116.99,33.92
493,-116.99,33.77
494,-116.99,33.76
495,-116.99,33.75
496,-116.99,33.73
497,-116.99,33.46
498,-116.99,32.96
499,-116.99,32.85
500,-116.99,32.83
501,-116.99,32.81
502,-116.99,32.81
503,-116.99,32.8
504,-116.99,32.79
505,-116.99,32.79
506,-116.99,32.78
507,-116.99,32.77
508,-116.99,32.74
509,-116.99,32.74
510,-116.99,32.73
511,-116.99,32.72
512,-116.99,32.72
513,-116.99,32.72
514,-116.99,32.72
515,-116.99,32.71
516,-116.99,32.7
517,-116.99,32.64
518,-117.0,34.89
519,-117.0,34.87
520,-117.0,33.74
521,-117.0,33.29
522,-117.0,32.87
523,-117.0,32.85
524,-117.0,32.8
525,-117.0,32.77
526,-117.0,32.77
527,-117.0,32.76
528,-117.0,32.76
529,-117.0,32.74
530,-117.0,32.72
531,-117.0,32.71
532,-117.0,32.7
533,-117.0,32.67
534,-117.0,32.64
535,-117.01,34.9
536,-117.01,34.9
537,-117.01,34.89
538,-117.01,34.01
539,-117.01,33.97
540,-117.01,33.04
541,-117.01,32.99
542,-117.01,32.85
543,-117.01,32.84
544,-117.01,32.83
545,-117.01,32.81
546,-117.01,32.81
547,-117.01,32.8
548,-117.01,32.8
549,-117.01,32.8
550,-117.01,32.79
551,-117.01,32.79
552,-117.01,32.78
553,-117.01,32.77
554,-117.01,32.77
555,-117.01,32.76
556,-117.01,32.76
557,-117.01,32.75
558,-117.01,32.75
559,-117.01,32.74
560,-117.01,32.73
561,-117.01,32.72
562,-117.01,32.71
563,-117.01,32.7
564,-117.01,32.7
565,-117.01,32.67
566,-117.01,32.66
567,-117.01,32.63
568,-117.02,36.4
569,-117.02,34.9
570,-117.02,34.89
571,-117.02,34.03
572,-117.02,33.95
573,-117.02,33.81
574,-117.02,33.76
575,-117.02,33.73
576,-117.02,33.71
577,-117.02,33.6
578,-117.02,32.95
579,-117.02,32.84
580,-117.02,32.81
581,-117.02,32.81
582,-117.02,32.81
583,-117.02,32.8
584,-117.02,32.8
585,-117.02,32.79
586,-117.02,32.78
587,-117.02,32.78
588,-117.02,32.76
589,-117.02,32.76
590,-117.02,32.75
591,-117.02,32.74
592,-117.02,32.74
593,-117.02,32.73
594,-117.02,32.72
595,-117.02,32.71
596,-117.02,32.7
597,-117.02,32.68
598,-117.02,32.67
599,-117.02,32.66
600,-117.02,32.64
601,-117.02,32.59
602,-117.03,34.91
603,-117.03,34.87
604,-117.03,34.07
605,-117.03,34.03
606,-117.03,33.89
607,-117.03,33.32
608,-117.03,33.18
609,-117.03,33.12
610,-117.03,32.96
611,-117.03,32.82
612,-117.03,32.8
613,-117.03,32.79
614,-117.03,32.79
615,-117.03,32.78
616,-117.03,32.77
617,-117.03,32.77
618,-117.03,32.75
619,-117.03,32.74
620,-117.03,32.74
621,-117.03,32.73
622,-117.03,32.73
623,-117.03,32.73
624,-117.03,32.72
625,-117.03,32.72
626,-117.03,32.71
627,-117.03,32.71
628,-117.03,32.7
629,-117.03,32.69
630,-117.03,32.69
631,-117.03,32.69
632,-117.03,32.67
633,-117.03,32.65
634,-117.03,32.63
635,-117.03,32.63
636,-117.03,32.61
637,-117.04,34.89
638,-117.04,34.04
639,-117.04,34.03
640,-117.04,34.02
641,-117.04,34.0
642,-117.04,34.0
643,-117.04,33.15
644,-117.04,33.09
645,-117.04,33.03
646,-117.04,33.01
647,-117.04,32.99
648,-117.04,32.98
649,-117.04,32.97
650,-117.04,32.9
651,-117.04,32.83
652,-117.04,32.81
653,-117.04,32.8
654,-117.04,32.8
655,-117.04,32.79
656,-117.04,32.77
657,-117.04,32.77
658,-117.04,32.76
659,-117.04,32.76
660,-117.04,32.75
661,-117.04,32.74
662,-117.04,32.74
663,-117.04,32.72
664,-117.04,32.71
665,-117.04,32.69
666,-117.04,32.68
667,-117.04,32.68
668,-117.04,32.67
669,-117.04,32.66
670,-117.04,32.65
671,-117.04,32.64
672,-117.04,32.63
673,-117.04,32.63
674,-117.04,32.62
675,-117.04,32.6
676,-117.04,32.6
677,-117.04,32.58
678,-117.04,32.58
679,-117.04,32.55
680,-117.04,32.54
681,-117.05,34.89
682,-117.05,34.04
683,-117.05,34.03
684,-117.05,34.02
685,-117.05,34.01
686,-117.05,33.52
687,-117.05,33.29
688,-117.05,33.26
689,-117.05,33.14
690,-117.05,33.13
691,-117.05,33.13
692,-117.05,33.13
693,-117.05,33.11
694,-117.05,33.05
695,-117.05,33.04
696,-117.05,33.02
697,-117.05,33.01
698,-117.05,33.01
699,-117.05,32.97
700,-117.05,32.96
701,-117.05,32.95
702,-117.05,32.95
703,-117.05,32.82
704,-117.05,32.81
705,-117.05,32.8
706,-117.05,32.8
707,-117.05,32.8
708,-117.05,32.8
709,-117.05,32.78
710,-117.05,32.77
711,-117.05,32.77
712,-117.05,32.76
713,-117.05,32.75
714,-117.05,32.75
715,-117.05,32.75
716,-117.05,32.75
717,-117.05,32.74
718,-117.05,32.73
719,-117.05,32.72
720,-117.05,32.72
721,-117.05,32.69
722,-117.05,32.69
723,-117.05,32.69
724,-117.05,32.68
725,-117.05,32.68
726,-117.05,32.68
727,-117.05,32.67
728,-117.05,32.67
729,-117.05,32.63
730,-117.05,32.62
731,-117.05,32.61
732,-117.05,32.61
733,-117.05,32.59
734,-117.05,32.59
735,-117.05,32.58
736,-117.05,32.58
737,-117.05,32.56
738,-117.05,32.56
739,-117.05,32.56
740,-117.06,34.9
741,-117.06,34.17
742,-117.06,34.03
743,-117.06,34.02
744,-117.06,34.0
745,-117.06,33.78
746,-117.06,33.17
747,-117.06,33.15
748,-117.06,33.13
749,-117.06,33.09
750,-117.06,33.04
751,-117.06,33.03
752,-117.06,33.02
753,-117.06,33.02
754,-117.06,33.01
755,-117.06,32.99
756,-117.06,32.97
757,-117.06,32.81
758,-117.06,32.8
759,-117.06,32.79
760,-117.06,32.79
761,-117.06,32.77
762,-117.06,32.77
763,-117.06,32.76
764,-117.06,32.76
765,-117.06,32.75
766,-117.06,32.75
767,-117.06,32.73
768,-117.06,32.72
769,-117.06,32.71
770,-117.06,32.71
771,-117.06,32.69
772,-117.06,32.69
773,-117.06,32.69
774,-117.06,32.68
775,-117.06,32.68
776,-117.06,32.68
777,-117.06,32.67
778,-117.06,32.66
779,-117.06,32.64
780,-117.06,32.63
781,-117.06,32.63
782,-117.06,32.62
783,-117.06,32.61
784,-117.06,32.6
785,-117.06,32.6
786,-117.06,32.6
787,-117.06,32.58
788,-117.06,32.58
789,-117.06,32.58
790,-117.06,32.57
791,-117.06,32.57
792,-117.06,32.57
793,-117.06,32.57
794,-117.06,32.56
795,-117.06,32.56
796,-117.06,32.55
797,-117.07,34.24
798,-117.07,33.72
799,-117.07,33.15
800,-117.07,33.15
801,-117.07,33.14
802,-117.07,33.13
803,-117.07,33.13
804,-117.07,33.12
805,-117.07,33.12
806,-117.07,33.12
807,-117.07,33.11
808,-117.07,33.11
809,-117.07,33.07
810,-117.07,33.04
811,-117.07,33.03
812,-117.07,33.03
813,-117.07,33.02
814,-117.07,33.01
815,-117.07,33.01
816,-117.07,33.0
817,-117.07,33.0
818,-117.07,32.91
819,-117.07,32.8
820,-117.07,32.8
821,-117.07,32.8
822,-117.07,32.78
823,-117.07,32.78
824,-117.07,32.77
825,-117.07,32.77
826,-117.07,32.77
827,-117.07,32.76
828,-117.07,32.76
829,-117.07,32.75
830,-117.07,32.75
831,-117.07,32.75
832,-117.07,32.75
833,-117.07,32.74
834,-117.07,32.73
835,-117.07,32.72
836,-117.07,32.71
837,-117.07,32.71
838,-117.07,32.71
839,-117.07,32.7
840,-117.07,32.69
841,-117.07,32.69
842,-117.07,32.69
843,-117.07,32.68
844,-117.07,32.67
845,-117.07,32.67
846,-117.07,32.65
847,-117.07,32.64
848,-117.07,32.64
849,-117.07,32.64
850,-117.07,32.63
851,-117.07,32.63
852,-117.07,32.63
853,-117.07,32.62
854,-117.07,32.61
855,-117.07,32.61
856,-117.07,32.6
857,-117.07,32.59
858,-117.07,32.57
859,-117.07,32.57
860,-117.07,32.56
861,-117.08,34.96
862,-117.08,34.08
863,-117.08,34.03
864,-117.08,34.02
865,-117.08,33.82
866,-117.08,33.23
867,-117.08,33.14
868,-117.08,33.14
869,-117.08,33.14
870,-117.08,33.13
871,-117.08,33.12
872,-117.08,33.12
873,-117.08,33.11
874,-117.08,33.11
875,-117.08,33.11
876,-117.08,33.09
877,-117.08,33.08
878,-117.08,33.04
879,-117.08,33.03
880,-117.08,33.03
881,-117.08,33.03
882,-117.08,33.03
883,-117.08,33.01
884,-117.08,32.97
885,-117.08,32.93
886,-117.08,32.91
887,-117.08,32.91
888,-117.08,32.83
889,-117.08,32.82
890,-117.08,32.8
891,-117.08,32.78
892,-117.08,32.77
893,-117.08,32.77
894,-117.08,32.76
895,-117.08,32.76
896,-117.08,32.76
897,-117.08,32.75
898,-117.08,32.75
899,-117.08,32.75
900,-117.08,32.74
901,-117.08,32.74
902,-117.08,32.73
903,-117.08,32.73
904,-117.08,32.73
905,-117.08,32.71
906,-117.08,32.7
907,-117.08,32.7
908,-117.08,32.69
909,-117.08,32.69
910,-117.08,32.68
911,-117.08,32.68
912,-117.08,32.67
913,-117.08,32.66
914,-117.08,32.65
915,-117.08,32.65
916,-117.08,32.64
917,-117.08,32.64
918,-117.08,32.63
919,-117.08,32.63
920,-117.08,32.63
921,-117.08,32.62
922,-117.08,32.62
923,-117.08,32.62
924,-117.08,32.61
925,-117.08,32.6
926,-117.08,32.59
927,-117.08,32.59
928,-117.08,32.58
929,-117.08,32.57
930,-117.09,34.22
931,-117.09,34.07
932,-117.09,33.71
933,-117.09,33.15
934,-117.09,33.13
935,-117.09,33.12
936,-117.09,33.11
937,-117.09,33.1
938,-117.09,32.99
939,-117.09,32.99
940,-117.09,32.98
941,-117.09,32.91
942,-117.09,32.91
943,-117.09,32.9
944,-117.09,32.83
945,-117.09,32.81
946,-117.09,32.8
947,-117.09,32.8
948,-117.09,32.79
949,-117.09,32.79
950,-117.09,32.79
951,-117.09,32.78
952,-117.09,32.77
953,-117.09,32.77
954,-117.09,32.76
955,-117.09,32.76
956,-117.09,32.76
957,-117.09,32.76
958,-117.09,32.76
959,-117.09,32.75
960,-117.09,32.75
961,-117.09,32.75
962,-117.09,32.75
963,-117.09,32.74
964,-117.09,32.73
965,-117.09,32.72
966,-117.09,32.72
967,-117.09,32.71
968,-117.09,32.71
969,-117.09,32.7
970,-117.09,32.69
971,-117.09,32.69
972,-117.09,32.68
973,-117.09,32.68
974,-117.09,32.68
975,-117.09,32.67
976,-117.09,32.67
977,-117.09,32.66
978,-117.09,32.66
979,-117.09,32.65
980,-117.09,32.65
981,-117.09,32.64
982,-117.09,32.64
983,-117.09,32.64
984,-117.09,32.64
985,-117.09,32.63
986,-117.09,32.63
987,-117.09,32.62
988,-117.09,32.62
989,-117.09,32.61
990,-117.09,32.61
991,-117.09,32.58
992,-117.09,32.57
993,-117.09,32.57
994,-117.09,32.57
995,-117.09,32.55
996,-117.1,34.57
997,-117.1,34.21
998,-117.1,34.03
999,-117.1,33.56
1000,-117.1,33.36
1001,-117.1,33.17
1002,-117.1,33.15
1003,-117.1,33.14
1004,-117.1,33.12
1005,-117.1,33.0
1006,-117.1,32.97
1007,-117.1,32.96
1008,-117.1,32.9
1009,-117.1,32.83
1010,-117.1,32.77
1011,-117.1,32.76
1012,-117.1,32.76
1013,-117.1,32.76
1014,-117.1,32.75
1015,-117.1,32.75
1016,-117.1,32.75
1017,-117.1,32.75
1018,-117.1,32.75
1019,-117.1,32.75
1020,-117.1,32.74
1021,-117.1,32.74
1022,-117.1,32.73
1023,-117.1,32.72
1024,-117.1,32.71
1025,-117.1,32.71
1026,-117.1,32.7
1027,-117.1,32.7
1028,-117.1,32.69
1029,-117.1,32.69
1030,-117.1,32.69
1031,-117.1,32.69
1032,-117.1,32.68
1033,-117.1,32.68
1034,-117.1,32.68
1035,-117.1,32.68
1036,-117.1,32.67
1037,-117.1,32.67
1038,-117.1,32.67
1039,-117.1,32.66
1040,-117.1,32.64
1041,-117.1,32.59
1042,-117.1,32.58
1043,-117.1,32.58
1044,-117.1,32.58
1045,-117.1,32.58
1046,-117.1,32.57
1047,-117.1,32.57
1048,-117.1,32.56
1049,-117.11,34.43
1050,-117.11,33.98
1051,-117.11,33.83
1052,-117.11,33.78
1053,-117.11,33.75
1054,-117.11,33.74
1055,-117.11,33.23
1056,-117.11,33.19
1057,-117.11,33.15
1058,-117.11,33.14
1059,-117.11,33.12
1060,-117.11,33.11
1061,-117.11,32.97
1062,-117.11,32.95
1063,-117.11,32.91
1064,-117.11,32.9
1065,-117.11,32.84
1066,-117.11,32.82
1067,-117.11,32.82
1068,-117.11,32.81
1069,-117.11,32.8
1070,-117.11,32.79
1071,-117.11,32.79
1072,-117.11,32.78
1073,-117.11,32.78
1074,-117.11,32.77
1075,-117.11,32.77
1076,-117.11,32.77
1077,-117.11,32.77
1078,-117.11,32.76
1079,-117.11,32.76
1080,-117.11,32.76
1081,-117.11,32.76
1082,-117.11,32.75
1083,-117.11,32.75
1084,-117.11,32.75
1085,-117.11,32.75
1086,-117.11,32.75
1087,-117.11,32.74
1088,-117.11,32.74
1089,-117.11,32.74
1090,-117.11,32.73
1091,-117.11,32.73
1092,-117.11,32.72
1093,-117.11,32.71
1094,-117.11,32.71
1095,-117.11,32.7
1096,-117.11,32.7
1097,-117.11,32.7
1098,-117.11,32.69
1099,-117.11,32.69
1100,-117.11,32.69
1101,-117.11,32.69
1102,-117.11,32.68
1103,-117.11,32.67
1104,-117.11,32.67
1105,-117.11,32.67
1106,-117.11,32.67
1107,-117.11,32.64
1108,-117.11,32.62
1109,-117.11,32.59
1110,-117.11,32.59
1111,-117.11,32.58
1112,-117.11,32.58
1113,-117.12,34.46
1114,-117.12,34.06
1115,-117.12,34.04
1116,-117.12,33.52
1117,-117.12,33.27
1118,-117.12,33.15
1119,-117.12,33.14
1120,-117.12,33.14
1121,-117.12,33.07
1122,-117.12,32.96
1123,-117.12,32.96
1124,-117.12,32.95
1125,-117.12,32.95
1126,-117.12,32.93
1127,-117.12,32.91
1128,-117.12,32.9
1129,-117.12,32.9
1130,-117.12,32.8
1131,-117.12,32.8
1132,-117.12,32.78
1133,-117.12,32.77
1134,-117.12,32.77
1135,-117.12,32.76
1136,-117.12,32.76
1137,-117.12,32.76
1138,-117.12,32.76
1139,-117.12,32.76
1140,-117.12,32.76
1141,-117.12,32.75
1142,-117.12,32.75
1143,-117.12,32.75
1144,-117.12,32.75
1145,-117.12,32.75
1146,-117.12,32.74
1147,-117.12,32.74
1148,-117.12,32.73
1149,-117.12,32.72
1150,-117.12,32.71
1151,-117.12,32.71
1152,-117.12,32.7
1153,-117.12,32.7
1154,-117.12,32.7
1155,-117.12,32.7
1156,-117.12,32.69
1157,-117.12,32.69
1158,-117.12,32.58
1159,-117.12,32.58
1160,-117.12,32.57
1161,-117.12,32.56
1162,-117.13,34.88
1163,-117.13,34.39
1164,-117.13,34.24
1165,-117.13,34.17
1166,-117.13,34.06
1167,-117.13,33.89
1168,-117.13,33.15
1169,-117.13,33.14
1170,-117.13,33.14
1171,-117.13,33.14
1172,-117.13,33.13
1173,-117.13,32.97
1174,-117.13,32.96
1175,-117.13,32.94
1176,-117.13,32.93
1177,-117.13,32.92
1178,-117.13,32.92
1179,-117.13,32.92
1180,-117.13,32.92
1181,-117.13,32.91
1182,-117.13,32.91
1183,-117.13,32.9
1184,-117.13,32.81
1185,-117.13,32.81
1186,-117.13,32.8
1187,-117.13,32.8
1188,-117.13,32.8
1189,-117.13,32.79
1190,-117.13,32.77
1191,-117.13,32.76
1192,-117.13,32.76
1193,-117.13,32.76
1194,-117.13,32.76
1195,-117.13,32.75
1196,-117.13,32.75
1197,-117.13,32.75
1198,-117.13,32.75
1199,-117.13,32.75
1200,-117.13,32.75
1201,-117.13,32.75
1202,-117.13,32.74
1203,-117.13,32.74
1204,-117.13,32.74
1205,-117.13,32.73
1206,-117.13,32.73
1207,-117.13,32.73
1208,-117.13,32.73
1209,-117.13,32.72
1210,-117.13,32.72
1211,-117.13,32.72
1212,-117.13,32.72
1213,-117.13,32.72
1214,-117.13,32.72
1215,-117.13,32.71
1216,-117.13,32.71
1217,-117.13,32.71
1218,-117.13,32.71
1219,-117.13,32.71
1220,-117.13,32.7
1221,-117.13,32.7
1222,-117.13,32.7
1223,-117.13,32.7
1224,-117.13,32.63
1225,-117.13,32.58
1226,-117.13,32.58
1227,-117.14,34.75
1228,-117.14,34.07
1229,-117.14,34.05
1230,-117.14,34.01
1231,-117.14,33.94
1232,-117.14,33.39
1233,-117.14,33.23
1234,-117.14,33.18
1235,-117.14,33.16
1236,-117.14,33.15
1237,-117.14,33.15
1238,-117.14,33.12
1239,-117.14,33.07
1240,-117.14,32.96
1241,-117.14,32.93
1242,-117.14,32.93
1243,-117.14,32.93
1244,-117.14,32.92
1245,-117.14,32.92
1246,-117.14,32.92
1247,-117.14,32.91
